epoch,step,t_acc,t_loss,t_prec_M,t_prec_class_0,t_prec_class_1,t_prec_class_2,t_prec_weighted_epoch,t_prec_weighted_step,t_rec_M,t_rec_class_0,t_rec_class_1,t_rec_class_2,t_rec_weighted,val_acc,val_loss,val_prec,val_prec_class_0,val_prec_class_1,val_prec_class_2,val_rec,val_rec_class_0,val_rec_class_1,val_rec_class_2
0,49,,,,,,,,0.6589285731315613,,,,,,,,,,,,,,,
0,98,,,,,,,,,,,,,,0.5216666460037231,1.043578028678894,0.5542817711830139,0.49446213245391846,0.589067816734314,0.5252909660339355,0.5216666460037231,0.819946825504303,0.4111817479133606,0.35046136379241943
0,98,0.5034722089767456,1.022499680519104,0.5106419324874878,0.5118630528450012,0.5547893643379211,0.4652736186981201,0.53641676902771,,0.4987766444683075,0.7641485333442688,0.38817453384399414,0.34400680661201477,0.5034722089767456,,,,,,,,,,
1,99,,,,,,,,0.550000011920929,,,,,,,,,,,,,,,
1,149,,,,,,,,0.5981212854385376,,,,,,,,,,,,,,,
1,197,,,,,,,,,,,,,,0.6050000190734863,1.010063648223877,0.6347839832305908,0.5754993557929993,0.6123712062835693,0.6498289704322815,0.6050000190734863,0.8235419988632202,0.4432186484336853,0.5662049055099487
1,197,0.5400883555412292,0.9560801982879639,0.5420122146606445,0.5468304753303528,0.550568699836731,0.5286369919776917,0.5673089623451233,,0.5343965291976929,0.7887601852416992,0.4292179346084595,0.3852119445800781,0.5400883555412292,,,,,,,,,,
2,199,,,,,,,,0.7704861164093018,,,,,,,,,,,,,,,
2,249,,,,,,,,0.6232638955116272,,,,,,,,,,,,,,,
2,296,,,,,,,,,,,,,,0.7275000214576721,0.920694887638092,0.751984179019928,0.6923392415046692,0.786273181438446,0.7418514490127563,0.7275000214576721,0.8913629055023193,0.4597107470035553,0.8414773344993591
2,296,0.6344696879386902,0.8418337106704712,0.6313319206237793,0.6389755606651306,0.6155447363853455,0.6394750475883484,0.661091148853302,,0.6320918202400208,0.7763939499855042,0.4591308832168579,0.6607502102851868,0.6344696879386902,,,,,,,,,,
3,299,,,,,,,,0.6974431872367859,,,,,,,,,,,,,,,
3,349,,,,,,,,0.8208333253860474,,,,,,,,,,,,,,,
3,395,,,,,,,,,,,,,,0.7616666555404663,0.8464802503585815,0.7823023200035095,0.7610329985618591,0.757468044757843,0.7638251185417175,0.7616666555404663,0.849147617816925,0.5644544363021851,0.871441125869751
3,395,0.7244318127632141,0.6770877242088318,0.7279474139213562,0.7292113900184631,0.7353575825691223,0.7192732691764832,0.7525914311408997,,0.7292363047599792,0.8515589833259583,0.48754602670669556,0.848604142665863,0.7244318127632141,,,,,,,,,,
4,399,,,,,,,,0.8046588897705078,,,,,,,,,,,,,,,
4,449,,,,,,,,0.9488636255264282,,,,,,,,,,,,,,,
4,494,,,,,,,,,,,,,,0.762499988079071,0.818874180316925,0.7764261960983276,0.7272185683250427,0.7896219491958618,0.7859045267105103,0.762499988079071,0.8924406170845032,0.5395922660827637,0.8656755685806274
4,494,0.7597853541374207,0.5835839509963989,0.7586755752563477,0.7608233094215393,0.7437223196029663,0.7714805006980896,0.7799121737480164,,0.763981282711029,0.8623182773590088,0.5764442086219788,0.8531813025474548,0.7597853541374207,,,,,,,,,,
5,499,,,,,,,,0.8196022510528564,,,,,,,,,,,,,,,
5,549,,,,,,,,0.7920454740524292,,,,,,,,,,,,,,,
5,593,,,,,,,,,,,,,,0.7958333492279053,0.7969232797622681,0.8055137395858765,0.7707223892211914,0.76952064037323,0.837084174156189,0.7958333492279053,0.8638265132904053,0.6490650177001953,0.869091272354126
5,593,0.7755681872367859,0.5406419038772583,0.7708373665809631,0.791495144367218,0.7248879075050354,0.7961288690567017,0.8011577129364014,,0.7816567420959473,0.8603129386901855,0.6248247623443604,0.8598320484161377,0.7755681872367859,,,,,,,,,,
6,599,,,,,,,,0.6209415793418884,,,,,,,,,,,,,,,
6,649,,,,,,,,0.90625,,,,,,,,,,,,,,,
